trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
212,False,"{'a': 0.6, 'e': 0.11875755691154315}",20,11,17.305312768226162,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.6, 'e': 0.11756998134242772}",20,0,-28.64851287506685,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
214,False,"{'a': 0.6, 'e': 0.11639428152900344}",25,11,9.897125335349264,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.6, 'e': 0.11523033871371341}",20,14,-32.36378092360445,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.6, 'e': 0.11407803532657627}",20,3,-3.4752280273770397,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
217,False,"{'a': 0.6, 'e': 0.11293725497331052}",35,18,14.723529276204369,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.6, 'e': 0.1118078824235774}",20,6,20.599614379981915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.6, 'e': 0.11068980359934164}",20,11,16.008262400501206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.6, 'e': 0.10958290556334822}",20,14,10.852933287750703,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.6, 'e': 0.10848707650771475}",35,13,36.68699844019951,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.6, 'e': 0.1074022057426376}",25,14,20.641928720233576,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.6, 'e': 0.10632818368521123}",20,0,27.531305081548297,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
224,False,"{'a': 0.6, 'e': 0.10526490184835911}",20,4,3.645762142277315,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.6, 'e': 0.10421225282987552}",20,0,31.282432341695603,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
226,False,"{'a': 0.6, 'e': 0.10317013030157676}",20,3,10.98502302709504,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
227,False,"{'a': 0.6, 'e': 0.10213842899856099}",20,14,10.108354173741496,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.6, 'e': 0.10111704470857538}",20,12,17.075512043854726,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.6, 'e': 0.10010587426148963}",20,0,-16.41817683385287,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
230,False,"{'a': 0.6, 'e': 0.09910481551887473}",35,23,22.163980077767533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.6, 'e': 0.09811376736368599}",20,6,26.99240175944086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.6, 'e': 0.09713262969004913}",30,16,11.201476235248558,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.6, 'e': 0.09616130339314863}",25,0,-8.444842710811379,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
234,False,"{'a': 0.6, 'e': 0.09519969035921715}",20,12,14.874833788674582,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.6, 'e': 0.09424769345562498}",25,5,4.057729393258653,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
236,False,"{'a': 0.6, 'e': 0.09330521652106873}",20,2,29.748749411794893,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.6, 'e': 0.09237216435585804}",20,6,24.654479994956937,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
